,accuracy,precision,recall,f1,roc_auc,log_loss,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,log_loss_std
LightGBM,0.8700000000000001,0.8791186464254503,0.8700000000000001,0.8679615988090836,0.9342674868990658,0.4179407072720986,0.05894913061275798,0.05494635429409822,0.05894913061275798,0.06113437085434292,0.03392585920173531,0.1813203145723137
Extra Trees Classifier,0.86,0.8650068377465402,0.86,0.8591261725086682,0.9325112022480443,0.3437529446888409,0.05500000000000001,0.05471837209162388,0.05500000000000001,0.05566629898073401,0.03461518203454963,0.051172400465790996
Random Forest,0.8525,0.8596663176997021,0.8525,0.8507009949868065,0.932230196703881,0.3586329015362061,0.05055937104039172,0.049414752098947176,0.05055937104039172,0.052055118304360146,0.029063038928712377,0.046209867857820885
XGBoost,0.8400000000000001,0.8445684081897149,0.8400000000000001,0.8389921307269338,0.9310226323384219,0.3261254234257732,0.04358898943540673,0.04316264571521391,0.04358898943540673,0.04381956897244124,0.023584646190839387,0.053977988145806975
Gradient Boosting,0.8575000000000002,0.8654293980281162,0.8575000000000002,0.8553960941505618,0.9289929368876738,0.44841210080721156,0.04038873605350879,0.03597094313166254,0.04038873605350879,0.0428184895403169,0.025593636317008825,0.1532892286935
Linear Discriminant Analysis,0.8375,0.8413198886587381,0.8375,0.8368129126832107,0.9161350345560872,0.40039836312990496,0.034003676271838604,0.03271774773616936,0.034003676271838604,0.03452725884539383,0.022084610553310974,0.07955085134209093
AdaBoost,0.82,0.828492012272114,0.82,0.8183033279025123,0.9105813776866409,0.4636503331421807,0.03316624790355398,0.035984520154576545,0.03316624790355398,0.033534689391261585,0.0226356644620357,0.02794625897573079
Logistic Regression,0.8300000000000001,0.8382460671965148,0.8300000000000001,0.8289327093859187,0.9085516822358928,0.39321824263519795,0.04301162633521312,0.037855318789100804,0.04301162633521312,0.04322602890542052,0.031513641617212665,0.08469285790460455
CatBoost,0.8299999999999998,0.8589989030255577,0.8299999999999998,0.8230766048215854,0.9015208475734793,0.4201546361050287,0.06500000000000002,0.05829385586617778,0.06500000000000002,0.06946174669427178,0.031054175465812333,0.05695435235776281
Naive Bayes,0.8249999999999998,0.8325854801597499,0.8249999999999998,0.8246824183647297,0.8990326194273562,1.8829624455600888,0.02236067977499788,0.025286798744521912,0.02236067977499788,0.02239309893984773,0.02869948851484826,0.5369330362234167
Multi-Layer Perceptron (MLP),0.7725000000000001,0.7884977740297614,0.7725000000000001,0.7692386576957266,0.8639819245082403,0.712326953824049,0.07701460900374682,0.06871334700106572,0.07701460900374682,0.07899413036370141,0.0550691482302712,0.239329366720222
Support Vector Machine,0.755,0.7610139176575508,0.755,0.7538992187690523,0.8415679349889876,0.48677357204728455,0.06689544080129828,0.06412586809791648,0.06689544080129828,0.06689232535470271,0.03778506150957066,0.053457642408537814
Decision Tree,0.8,0.8067771713636567,0.8,0.8001024538254737,0.8183071314650261,6.338111761039569,0.07158910531638177,0.07100140082981188,0.07158910531638177,0.07133346491806732,0.07750070717649239,2.7266035568356712
K-Nearest Neighbors,0.7525,0.7575412724707802,0.7525,0.7507799943095891,0.7976855016328701,2.123986522738428,0.037831864876053896,0.03962443840457877,0.037831864876053896,0.03961699543328812,0.04273543992836782,1.1449679134240125
