Model,Accuracy,Precision (Class HF),Recall (Class HF),F1-score (Class HF),Precision (Class No HF),Recall (Class No HF),F1-score (Class No HF),Precision (Class macro avg),Recall (Class macro avg),F1-score (Class macro avg),Precision (Class weighted avg),Recall (Class weighted avg),F1-score (Class weighted avg)
Logistic Regression,0.8125,0.8181818181818182,0.8372093023255814,0.8275862068965517,0.8055555555555556,0.7837837837837838,0.7945205479452054,0.8118686868686869,0.8104965430546827,0.8110533774208786,0.8123421717171718,0.8125,0.812293339631554
K-Nearest Neighbors,0.75,0.7017543859649122,0.9302325581395349,0.8,0.8695652173913043,0.5405405405405406,0.6666666666666666,0.7856598016781082,0.7353865493400378,0.7333333333333334,0.7793668954996186,0.75,0.7383333333333333
Decision Tree,0.775,0.8048780487804879,0.7674418604651163,0.7857142857142857,0.7435897435897436,0.7837837837837838,0.7631578947368421,0.7742338961851157,0.77561282212445,0.7744360902255639,0.7765322076297686,0.775,0.7752819548872181
Random Forest,0.775,0.7272727272727273,0.9302325581395349,0.8163265306122449,0.88,0.5945945945945946,0.7096774193548387,0.8036363636363637,0.7624135763670647,0.7630019749835418,0.7979090909090909,0.775,0.7670013166556945
Support Vector Machine,0.775,0.7450980392156863,0.8837209302325582,0.8085106382978723,0.8275862068965517,0.6486486486486487,0.7272727272727273,0.786342123056119,0.7661847894406034,0.7678916827852997,0.7832488167680866,0.775,0.7709381044487428
Ridge Classifier,0.875,0.8666666666666667,0.9069767441860465,0.8863636363636364,0.8857142857142857,0.8378378378378378,0.8611111111111112,0.8761904761904762,0.8724072910119421,0.8737373737373737,0.8754761904761905,0.875,0.8746843434343434
Linear Discriminant Analysis,0.775,0.7272727272727273,0.9302325581395349,0.8163265306122449,0.88,0.5945945945945946,0.7096774193548387,0.8036363636363637,0.7624135763670647,0.7630019749835418,0.7979090909090909,0.775,0.7670013166556945
AdaBoost,0.775,0.7450980392156863,0.8837209302325582,0.8085106382978723,0.8275862068965517,0.6486486486486487,0.7272727272727273,0.786342123056119,0.7661847894406034,0.7678916827852997,0.7832488167680866,0.775,0.7709381044487428
Gradient Boosting,0.8375,0.7884615384615384,0.9534883720930233,0.8631578947368421,0.9285714285714286,0.7027027027027027,0.8,0.8585164835164836,0.828095537397863,0.8315789473684211,0.8532623626373628,0.8375,0.8339473684210527
Extra Trees Classifier,0.7875,0.7407407407407407,0.9302325581395349,0.8247422680412371,0.8846153846153846,0.6216216216216216,0.7301587301587301,0.8126780626780626,0.7759270898805782,0.7774504990999835,0.8072827635327634,0.7875,0.7809973817705776
LightGBM,0.85,0.8163265306122449,0.9302325581395349,0.8695652173913043,0.9032258064516129,0.7567567567567568,0.8235294117647058,0.859776168531929,0.8434946574481459,0.8465473145780051,0.8565174456879525,0.85,0.8482736572890026
Multi-Layer Perceptron (MLP),0.8125,0.8043478260869565,0.8604651162790697,0.8314606741573034,0.8235294117647058,0.7567567567567568,0.7887323943661971,0.8139386189258312,0.8086109365179133,0.8100965342617503,0.8132193094629155,0.8125,0.8116988447539167
CatBoost,0.8375,0.8571428571428571,0.8372093023255814,0.8470588235294118,0.8157894736842105,0.8378378378378378,0.8266666666666667,0.8364661654135338,0.8375235700817096,0.8368627450980393,0.838016917293233,0.8375,0.837627450980392
