iter	Passed	Remaining
0	285	71172
1	290	36046
2	441	36389
3	587	36131
4	621	30449
5	758	30864
6	894	31054
7	912	27589
8	1052	28174
9	1198	28773
10	1329	28877
11	1346	26697
12	1347	24567
13	1352	22791
14	1498	23469
15	1639	23978
16	1674	22946
17	1812	23366
18	1846	22448
19	1851	21288
20	1988	21688
21	2144	22226
22	2290	22607
23	2292	21584
24	2428	21858
25	2565	22103
26	2599	21471
27	2604	20650
28	2741	20889
29	2874	21076
30	3016	21310
31	3051	20786
32	3116	20494
33	3256	20690
34	3265	20059
35	3274	19465
36	3279	18877
37	3419	19075
38	3562	19274
39	3700	19428
40	3834	19548
41	3837	19004
42	3977	19146
43	4119	19286
44	4211	19184
45	4278	18974
46	4281	18491
47	4314	18156
48	4331	17769
49	4340	17363
50	4482	17491
51	4621	17597
52	4639	17243
53	4675	16968
54	4692	16636
55	4840	16767
56	4981	16866
57	5015	16603
58	5156	16693
59	5299	16780
60	5315	16470
61	5452	16533
62	5593	16601
63	5733	16663
64	5880	16737
65	5950	16589
66	6086	16625
67	6095	16314
68	6096	15992
69	6256	16087
70	6261	15784
71	6399	15820
72	6539	15856
73	6681	15890
74	6714	15667
75	6853	15691
76	6920	15548
77	6921	15261
78	7079	15323
79	7221	15346
80	7230	15086
81	7370	15099
82	7515	15121
83	7657	15133
84	7692	14933
85	7836	14943
86	7975	14942
87	8116	14941
88	8283	14985
89	8423	14975
90	8459	14780
91	8600	14769
92	8738	14752
93	8871	14723
94	9013	14706
95	9081	14568
96	9223	14547
97	9359	14517
98	9426	14377
99	9560	14340
100	9569	14117
101	9634	13979
102	9651	13774
103	9797	13753
104	9832	13577
105	9972	13546
106	10113	13516
107	10180	13385
108	10318	13347
109	10323	13138
110	10461	13101
111	10602	13063
112	10739	13020
113	10810	12897
114	10838	12723
115	10839	12521
116	10903	12394
117	11040	12350
118	11182	12310
119	11326	12270
120	11391	12144
121	11529	12096
122	11562	11938
123	11704	11893
124	11717	11717
125	11872	11684
126	12016	11638
127	12158	11588
128	12297	11534
129	12331	11383
130	12476	11333
131	12508	11181
132	12510	11005
133	12649	10950
134	12716	10832
135	12863	10782
136	13004	10726
137	13148	10671
138	13153	10503
139	13297	10447
140	13314	10292
141	13453	10232
142	13598	10175
143	13737	10112
144	13882	10052
145	13886	9892
146	13950	9775
147	14089	9710
148	14235	9649
149	14376	9584
150	14529	9525
151	14665	9455
152	14807	9387
153	14824	9241
154	14965	9172
155	14983	9028
156	14985	8876
157	15125	8807
158	15281	8745
159	15421	8674
160	15488	8561
161	15624	8487
162	15691	8375
163	15828	8300
164	15845	8162
165	15880	8035
166	16020	7962
167	16158	7886
168	16303	7813
169	16372	7704
170	16513	7628
171	16651	7551
172	16792	7474
173	16932	7395
174	17000	7285
175	17138	7206
176	17156	7075
177	17174	6946
178	17179	6814
179	17246	6707
180	17317	6601
181	17458	6522
182	17601	6444
183	17743	6364
184	17885	6284
185	18024	6201
186	18033	6075
187	18177	5994
188	18323	5914
189	18466	5831
190	18483	5709
191	18618	5624
192	18756	5539
193	18944	5468
194	19082	5382
195	19222	5296
196	19364	5209
197	19398	5094
198	19541	5008
199	19560	4890
200	19703	4803
201	19720	4686
202	19865	4599
203	20010	4512
204	20149	4422
205	20287	4333
206	20354	4228
207	20493	4138
208	20632	4047
209	20702	3943
210	20846	3853
211	20985	3761
212	21020	3651
213	21166	3560
214	21304	3468
215	21448	3376
216	21605	3285
217	21750	3192
218	21768	3081
219	21910	2987
220	22053	2893
221	22089	2786
222	22225	2690
223	22379	2597
224	22518	2502
225	22584	2398
226	22728	2302
227	22862	2206
228	23005	2109
229	23150	2013
230	23295	1916
231	23443	1818
232	23478	1713
233	23618	1614
234	23759	1516
235	23792	1411
236	23932	1312
237	24069	1213
238	24212	1114
239	24350	1014
240	24498	914
241	24644	814
242	24775	713
243	24842	610
244	24981	509
245	25121	408
246	25261	306
247	25406	204
248	25566	102
249	25699	0
